온실번호,조사일자,측정라인,표본번호,단체표준분류명,단체표준항목명,단체표준항목2명,조사항목,단위,조사항목값
1,2024-11-01,1,1,steminfo,plantheight,,초장,cm,23
1,2024-11-01,1,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,1,1,leafinfo,leafwidth,,엽폭,cm,6
1,2024-11-01,1,1,leafinfo,petiolelength,,엽병장,cm,12
1,2024-11-01,1,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-01,1,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-01,1,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,1,2,steminfo,plantheight,,초장,cm,29
1,2024-11-01,1,2,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,1,2,leafinfo,leafwidth,,엽폭,cm,6
1,2024-11-01,1,2,leafinfo,petiolelength,,엽병장,cm,17
1,2024-11-01,1,2,leafinfo,leafnumber,,엽수,개,5
1,2024-11-01,1,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-01,1,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,2,1,steminfo,plantheight,,초장,cm,28
1,2024-11-01,2,1,leafinfo,leaflength,,엽장,cm,9
1,2024-11-01,2,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-01,2,1,leafinfo,petiolelength,,엽병장,cm,19
1,2024-11-01,2,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-01,2,1,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-01,2,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,2,2,steminfo,plantheight,,초장,cm,31
1,2024-11-01,2,2,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,2,2,leafinfo,leafwidth,,엽폭,cm,9
1,2024-11-01,2,2,leafinfo,petiolelength,,엽병장,cm,20
1,2024-11-01,2,2,leafinfo,leafnumber,,엽수,개,6
1,2024-11-01,2,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-01,2,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,3,1,steminfo,plantheight,,초장,cm,26
1,2024-11-01,3,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,3,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-01,3,1,leafinfo,petiolelength,,엽병장,cm,16
1,2024-11-01,3,1,leafinfo,leafnumber,,엽수,개,5
1,2024-11-01,3,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-01,3,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,3,2,steminfo,plantheight,,초장,cm,28
1,2024-11-01,3,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-01,3,2,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-01,3,2,leafinfo,petiolelength,,엽병장,cm,17
1,2024-11-01,3,2,leafinfo,leafnumber,,엽수,개,5
1,2024-11-01,3,2,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-01,3,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,4,1,steminfo,plantheight,,초장,cm,24
1,2024-11-01,4,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,4,1,leafinfo,leafwidth,,엽폭,cm,8
1,2024-11-01,4,1,leafinfo,petiolelength,,엽병장,cm,13
1,2024-11-01,4,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-01,4,1,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-01,4,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,4,2,steminfo,plantheight,,초장,cm,24
1,2024-11-01,4,2,leafinfo,leaflength,,엽장,cm,10
1,2024-11-01,4,2,leafinfo,leafwidth,,엽폭,cm,9
1,2024-11-01,4,2,leafinfo,petiolelength,,엽병장,cm,13
1,2024-11-01,4,2,leafinfo,leafnumber,,엽수,개,6
1,2024-11-01,4,2,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-01,4,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,5,1,steminfo,plantheight,,초장,cm,24
1,2024-11-01,5,1,leafinfo,leaflength,,엽장,cm,9
1,2024-11-01,5,1,leafinfo,leafwidth,,엽폭,cm,6
1,2024-11-01,5,1,leafinfo,petiolelength,,엽병장,cm,15
1,2024-11-01,5,1,leafinfo,leafnumber,,엽수,개,8
1,2024-11-01,5,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-01,5,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-01,5,2,steminfo,plantheight,,초장,cm,25
1,2024-11-01,5,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-01,5,2,leafinfo,leafwidth,,엽폭,cm,10
1,2024-11-01,5,2,leafinfo,petiolelength,,엽병장,cm,16
1,2024-11-01,5,2,leafinfo,leafnumber,,엽수,개,7
1,2024-11-01,5,2,steminfo,crowndiameter,,관부직경,cm,2.3
1,2024-11-01,5,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,1,1,steminfo,plantheight,,초장,cm,24
1,2024-11-04,1,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-04,1,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-04,1,1,leafinfo,petiolelength,,엽병장,cm,14
1,2024-11-04,1,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-04,1,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-04,1,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,1,2,steminfo,plantheight,,초장,cm,30
1,2024-11-04,1,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,1,2,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-04,1,2,leafinfo,petiolelength,,엽병장,cm,19
1,2024-11-04,1,2,leafinfo,leafnumber,,엽수,개,5
1,2024-11-04,1,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-04,1,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,2,1,steminfo,plantheight,,초장,cm,27
1,2024-11-04,2,1,leafinfo,leaflength,,엽장,cm,9
1,2024-11-04,2,1,leafinfo,leafwidth,,엽폭,cm,8
1,2024-11-04,2,1,leafinfo,petiolelength,,엽병장,cm,18
1,2024-11-04,2,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-04,2,1,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-04,2,1,plantobjectinfo,fruitingnumber,,착과수,개,2
1,2024-11-04,2,2,steminfo,plantheight,,초장,cm,27
1,2024-11-04,2,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,2,2,leafinfo,leafwidth,,엽폭,cm,10
1,2024-11-04,2,2,leafinfo,petiolelength,,엽병장,cm,16
1,2024-11-04,2,2,leafinfo,leafnumber,,엽수,개,6
1,2024-11-04,2,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-04,2,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,3,1,steminfo,plantheight,,초장,cm,27
1,2024-11-04,3,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-04,3,1,leafinfo,leafwidth,,엽폭,cm,8
1,2024-11-04,3,1,leafinfo,petiolelength,,엽병장,cm,17
1,2024-11-04,3,1,leafinfo,leafnumber,,엽수,개,5
1,2024-11-04,3,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-04,3,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,3,2,steminfo,plantheight,,초장,cm,29
1,2024-11-04,3,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,3,2,leafinfo,leafwidth,,엽폭,cm,8
1,2024-11-04,3,2,leafinfo,petiolelength,,엽병장,cm,18
1,2024-11-04,3,2,leafinfo,leafnumber,,엽수,개,5
1,2024-11-04,3,2,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-04,3,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,4,1,steminfo,plantheight,,초장,cm,25
1,2024-11-04,4,1,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,4,1,leafinfo,leafwidth,,엽폭,cm,9
1,2024-11-04,4,1,leafinfo,petiolelength,,엽병장,cm,14
1,2024-11-04,4,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-04,4,1,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-04,4,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,4,2,steminfo,plantheight,,초장,cm,25
1,2024-11-04,4,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,4,2,leafinfo,leafwidth,,엽폭,cm,10
1,2024-11-04,4,2,leafinfo,petiolelength,,엽병장,cm,14
1,2024-11-04,4,2,leafinfo,leafnumber,,엽수,개,6
1,2024-11-04,4,2,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-04,4,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,5,1,steminfo,plantheight,,초장,cm,25
1,2024-11-04,5,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-04,5,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-04,5,1,leafinfo,petiolelength,,엽병장,cm,15
1,2024-11-04,5,1,leafinfo,leafnumber,,엽수,개,8
1,2024-11-04,5,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-04,5,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-04,5,2,steminfo,plantheight,,초장,cm,26
1,2024-11-04,5,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-04,5,2,leafinfo,leafwidth,,엽폭,cm,10
1,2024-11-04,5,2,leafinfo,petiolelength,,엽병장,cm,16
1,2024-11-04,5,2,leafinfo,leafnumber,,엽수,개,7
1,2024-11-04,5,2,steminfo,crowndiameter,,관부직경,cm,2.3
1,2024-11-04,5,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-11,1,1,steminfo,plantheight,,초장,cm,24
1,2024-11-11,1,1,leafinfo,leaflength,,엽장,cm,10
1,2024-11-11,1,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-11,1,1,leafinfo,petiolelength,,엽병장,cm,14
1,2024-11-11,1,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-11,1,1,steminfo,crowndiameter,,관부직경,cm,1.5
1,2024-11-11,1,1,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-11,1,2,steminfo,plantheight,,초장,cm,30
1,2024-11-11,1,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-11,1,2,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-11,1,2,leafinfo,petiolelength,,엽병장,cm,19
1,2024-11-11,1,2,leafinfo,leafnumber,,엽수,개,7
1,2024-11-11,1,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-11,1,2,plantobjectinfo,fruitingnumber,,착과수,개,0
1,2024-11-11,2,1,steminfo,plantheight,,초장,cm,27
1,2024-11-11,2,1,leafinfo,leaflength,,엽장,cm,9
1,2024-11-11,2,1,leafinfo,leafwidth,,엽폭,cm,8
1,2024-11-11,2,1,leafinfo,petiolelength,,엽병장,cm,18
1,2024-11-11,2,1,leafinfo,leafnumber,,엽수,개,7
1,2024-11-11,2,1,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-11,2,1,plantobjectinfo,fruitingnumber,,착과수,개,5
1,2024-11-11,2,2,steminfo,plantheight,,초장,cm,27
1,2024-11-11,2,2,leafinfo,leaflength,,엽장,cm,11
1,2024-11-11,2,2,leafinfo,leafwidth,,엽폭,cm,10
1,2024-11-11,2,2,leafinfo,petiolelength,,엽병장,cm,16
1,2024-11-11,2,2,leafinfo,leafnumber,,엽수,개,6
1,2024-11-11,2,2,steminfo,crowndiameter,,관부직경,cm,2
1,2024-11-11,2,2,plantobjectinfo,fruitingnumber,,착과수,개,1
1,2024-11-11,3,1,steminfo,plantheight,,초장,cm,29
1,2024-11-11,3,1,leafinfo,leaflength,,엽장,cm,11
1,2024-11-11,3,1,leafinfo,leafwidth,,엽폭,cm,7
1,2024-11-11,3,1,leafinfo,petiolelength,,엽병장,cm,18
1,2024-11-11,3,1,leafinfo,leafnumber,,엽수,개,6
1,2024-11-11,3,1,steminfo,crowndiameter,,관부직경,cm,1.5
