측정일시,급액EC,급액PH,내부CO2,내부습도,내부온도,외부일사량,외부온도,외부풍향,외부풍속
9/30/2024 0:00,0.5,6,429,85.7,20.6,0,22.18,40,0
9/30/2024 1:00,0.5,6,430,85.9,20.6,0,22.24,39,0
9/30/2024 2:00,0.5,6,430,86.1,20.6,0,22.24,39,0
9/30/2024 3:00,0.5,6,438,91.2,22,0,21.6,50,0
9/30/2024 4:00,0.5,6,438,91.3,22,0,21.6,51,0
9/30/2024 5:00,0.5,6,439,90.9,22,0,21.52,53,0
9/30/2024 6:00,0.5,6,439,91.2,22,0,21.52,49,0
9/30/2024 7:00,0.5,6,439,91.5,21.9,0,21.52,54,0
9/30/2024 8:00,0.5,6,439,91.5,21.9,0,21.52,50,0
9/30/2024 9:00,0.5,6,438,93.1,22.2,0,21.34,351,0
9/30/2024 10:00,0.5,6,438,93.4,22.1,0,21.34,353,0
9/30/2024 11:00,0.5,6,438,93.8,22.1,0,21.34,356,0
9/30/2024 12:00,0.5,6,438,94.1,22.1,0,21.34,353,0
9/30/2024 13:00,0.5,6,436,94.6,22.1,0,21.34,352,0
9/30/2024 14:00,0.5,6,436,94.5,22.1,0,21.36,352,0
9/30/2024 15:00,0.5,6,440,91,21.8,0,20.72,359,0
9/30/2024 16:00,0.5,6,440,91.4,21.8,0,20.72,358,0
9/30/2024 17:00,0.5,6,440,91.5,21.8,0,20.94,355,0
9/30/2024 18:00,0.5,6,440,91,21.8,0,20.94,356,0
9/30/2024 19:00,0.5,6,440,90.6,21.8,0,20.94,356,0
9/30/2024 20:00,0.5,6,440,89.5,21.8,0,20.94,360,0
9/30/2024 21:00,0.5,6,441,88,21.4,0,20.14,359,0
9/30/2024 22:00,0.5,6,441,87.7,21.4,0,20.14,355,0
9/30/2024 23:00,0.5,6,441,87.6,21.4,0,20.14,357,0
10/1/2024 0:00,0.5,6,432,78,19,0,19.66,57,0
10/1/2024 1:00,0.5,6,433,80.1,18.9,0,19.66,57,0
10/1/2024 2:00,0.5,6,433,80.4,19,0,19.66,57,0
10/1/2024 3:00,0.5,6,433,79.9,19,0,19.64,57,0
10/1/2024 4:00,0.5,6,434,79.8,19,0,19.64,56,0
10/1/2024 5:00,0.5,6,436,79.2,18.8,0,19.08,54,0
10/1/2024 6:00,0.5,6,438,79.9,18.8,0,19.08,52,0
10/1/2024 7:00,0.5,6,439,80,18.7,0,19.08,56,0
10/1/2024 8:00,0.5,6,438,80.2,18.8,0,19.08,57,0
10/1/2024 9:00,0.5,6,437,80,18.8,0,19.08,57,0
10/1/2024 10:00,0.5,6,444,79.8,18.6,0,19.02,174,1.5
10/1/2024 11:00,0.5,6,442,80.7,18.5,0,19.02,174,1
10/1/2024 12:00,0.5,6,442,80.7,18.5,0,18.82,176,1
10/1/2024 13:00,0.5,6,442,79.8,18.6,0,18.82,177,1.5
10/1/2024 14:00,0.5,6,442,79.7,18.6,0,18.82,173,1.5
10/1/2024 15:00,0.5,6,442,80.1,18.6,0,18.82,175,1
10/1/2024 16:00,0.5,6,437,79.6,18.4,0,19.04,236,1
10/1/2024 17:00,0.5,6,438,79.2,18.4,0,19.44,233,1
10/1/2024 18:00,0.5,6,439,79.4,18.4,0,19.44,233,1
10/1/2024 19:00,0.5,6,438,79.4,18.4,0,19.44,234,1
10/1/2024 20:00,0.5,6,440,79.4,18.4,0,19.44,236,1.5
10/1/2024 21:00,0.5,6,441,79.7,18.3,0,19.44,234,1.5
10/1/2024 22:00,0.5,6,430,78.5,18.3,0,18.76,220,0
10/1/2024 23:00,0.5,6,430,79.2,18.2,0,18.76,223,0
10/2/2024 0:00,0.5,6,431,79.3,18.2,0,18.76,220,0
10/2/2024 1:00,0.5,6,430,78.9,18.3,0,18.82,222,0
10/2/2024 2:00,0.5,6,430,79,18.2,0,18.82,221,0
10/2/2024 3:00,0.5,6,428,79.6,18.2,0,18.82,222,0
10/2/2024 4:00,0.5,6,427,79.9,18.1,0,19.42,106,0.5
10/2/2024 5:00,0.5,6,426,80.6,18.1,0,19.42,105,0.5
10/2/2024 6:00,0.5,6,426,78.3,18.1,0,19.42,105,0.5
10/2/2024 7:00,0.5,6,426,78.3,18.1,0,19.42,106,1
10/2/2024 8:00,0.5,6,426,78.4,18,0,19.42,106,1
10/2/2024 9:00,0.5,6,425,78,18.1,0,19.42,103,0.5
10/2/2024 10:00,0.5,6,422,79.6,18,0,19.64,53,0
10/2/2024 11:00,0.5,6,423,80.4,18.1,0,19.64,55,0
10/2/2024 12:00,0.5,6,423,81.1,18.1,0,19.62,54,0
10/2/2024 13:00,0.5,6,423,81.3,18.1,0,19.62,53,0
10/2/2024 14:00,0.5,6,423,80.9,18,0,19.62,51,0
10/2/2024 15:00,0.5,6,423,82.9,18,0,19.62,54,0
10/2/2024 16:00,0.5,6,421,82.1,18.1,0,19.72,101,0
10/2/2024 17:00,0.5,6,421,81.3,18.1,0,19.72,104,0
10/2/2024 18:00,0.5,6,421,81.4,18.1,0,19.72,103,0
10/2/2024 19:00,0.5,6,420,81.3,18.1,0,19.72,101,0
10/2/2024 20:00,0.5,6,419,81.1,18.1,5,19.72,101,0
10/2/2024 21:00,0.5,6,419,80.7,18.1,5,19.6,103,0
10/2/2024 22:00,0.5,6,422,78.9,18.3,27,19.94,228,0
10/2/2024 23:00,0.5,6,421,79.8,18.4,28,19.94,225,0.5
10/3/2024 0:00,0.5,6,421,79.7,18.4,27,20.14,226,0.5
10/3/2024 1:00,0.5,6,420,80.3,18.4,26,20.14,227,0
10/3/2024 2:00,0.5,6,420,80.4,18.3,28,20.14,225,0
10/3/2024 3:00,0.5,6,418,80.9,18.3,28,20.14,226,0
10/3/2024 4:00,0.5,6,419,75.3,18.6,11,19.9,149,0
10/3/2024 5:00,0.5,6,419,75.1,18.6,11,19.9,147,0
10/3/2024 6:00,0.5,6,420,76.6,18.6,11,19.9,147,0
10/3/2024 7:00,0.5,6,419,76.5,18.6,12,19.9,148,0
10/3/2024 8:00,0.5,6,418,76.1,18.6,11,19.9,146,0
10/3/2024 9:00,0.5,6,417,77.4,18.6,13,19.9,151,0
10/3/2024 10:00,0.5,6,425,79.5,18.6,46,18.36,174,1.5
10/3/2024 11:00,0.5,6,424,79,18.6,46,18.36,187,1.5
10/3/2024 12:00,0.5,6,423,78.5,18.6,48,18.5,186,1
10/3/2024 13:00,0.5,6,424,78.4,18.6,52,18.5,185,0.5
10/3/2024 14:00,0.5,6,424,78.3,18.6,52,18.5,175,1
10/3/2024 15:00,0.5,6,428,77.5,18.6,8,18.32,161,0.5
10/3/2024 16:00,0.5,6,427,77.8,18.5,8,18.32,92,1
10/3/2024 17:00,0.5,6,427,77.5,18.5,8,18.32,93,1
10/3/2024 18:00,0.5,6,428,77.8,18.5,8,18.32,91,1
10/3/2024 19:00,0.5,6,427,77.4,18.6,6,18.32,99,1
10/3/2024 20:00,0.5,6,427,77.6,18.6,5,18.32,100,0
10/3/2024 21:00,0.5,6,430,77.2,19,95,19.74,235,1.5
10/3/2024 22:00,0.5,6,429,77.9,19,95,19.74,160,1
10/3/2024 23:00,0.5,6,430,77.9,19,93,19.7,300,0.5
10/4/2024 0:00,0.5,6,430,78.4,19,95,19.7,75,1
10/4/2024 1:00,0.5,6,430,78.8,19,95,19.7,67,0.5
