온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
1,1,1,2024-11-01,0.0,0.39171233791243487,0.39171233791243487
1,1,1,2024-11-04,0.0,0.0,0.0
1,1,1,2024-11-11,0.0,0.5130211111716737,0.5130211111716737
1,1,1,2024-11-18,2.0,0.2575248181645079,1.7424751818354922
1,1,1,2024-11-25,5.0,6.071299860427768,1.071299860427768
1,1,1,2024-12-02,9.0,7.722281356848589,1.2777186431514114
1,1,1,2024-12-09,9.0,8.476463002642141,0.5235369973578585
1,1,1,2024-12-16,6.0,6.011521300258514,0.011521300258514167
1,1,1,2024-12-23,4.0,4.355854606515326,0.35585460651532586
1,1,1,2024-12-30,3.0,3.4248102563015266,0.4248102563015266
1,1,1,2025-01-06,1.0,2.710081846572265,1.710081846572265
1,1,1,2025-01-13,5.0,4.224354380826089,0.7756456191739112
1,1,1,2025-01-20,5.0,4.228021782597489,0.7719782174025109
1,1,1,2025-01-31,5.0,5.257308095568369,0.2573080955683693
1,1,1,2025-02-03,6.0,5.591187639930008,0.4088123600699918
1,1,2,2024-11-01,0.0,0.39171233791243487,0.39171233791243487
1,1,2,2024-11-04,0.0,0.17325397234924925,0.17325397234924925
1,1,2,2024-11-11,0.0,1.0961827333775485,1.0961827333775485
1,1,2,2024-11-18,0.0,1.2762458676870612,1.2762458676870612
1,1,2,2024-11-25,2.0,4.285652969769534,2.285652969769534
1,1,2,2024-12-02,7.0,6.797514146096831,0.20248585390316887
1,1,2,2024-12-09,7.0,7.680582624680141,0.6805826246801407
1,1,2,2024-12-16,5.0,5.0166772840197655,0.016677284019765537
1,1,2,2024-12-23,5.0,3.3868738301840002,1.6131261698159998
1,1,2,2024-12-30,3.0,3.5107622574119843,0.5107622574119843
1,1,2,2025-01-06,2.0,2.8477454335005725,0.8477454335005725
1,1,2,2025-01-13,4.0,4.376828574359044,0.3768285743590436
1,1,2,2025-01-20,4.0,3.9826786338752864,0.017321366124713578
1,1,2,2025-01-31,4.0,5.6951231690897375,1.6951231690897375
1,1,2,2025-02-03,8.0,6.46547480517594,1.5345251948240604
1,2,1,2024-11-01,0.0,0.4858835330746896,0.4858835330746896
1,2,1,2024-11-04,2.0,0.2941696056546006,1.7058303943453994
1,2,1,2024-11-11,5.0,3.880321151401148,1.119678848598852
1,2,1,2024-11-18,6.0,5.187580698389582,0.8124193016104178
1,2,1,2024-11-25,9.0,8.200697441397613,0.7993025586023865
1,2,1,2024-12-02,7.0,8.941032876771587,1.9410328767715868
1,2,1,2024-12-09,7.0,7.3778740821395985,0.3778740821395985
1,2,1,2024-12-16,5.0,5.248243788106665,0.2482437881066648
1,2,1,2024-12-23,4.0,3.599579725337769,0.4004202746622312
1,2,1,2024-12-30,2.0,3.43840468468434,1.4384046846843401
1,2,1,2025-01-06,0.0,2.856784542902887,2.856784542902887
1,2,1,2025-01-13,5.0,3.312456778231618,1.6875432217683821
1,2,1,2025-01-20,5.0,4.1294938445353075,0.8705061554646925
1,2,1,2025-01-31,6.0,5.566170231720002,0.4338297682799981
